Main Color,Shade Number,Shade Name,Product Slug
Red,46,CADIZ*,10ml-bottles
Red,46,CADIZ,pearl-colors
White,461,YUMMY COCO,white-shades
Red,462,YUMMY DIABOLO,red-shades
Grey,463,SIROCCO CITY,whisper
Grey,463,SIROCCO CITY*,grey-shades
Pink,464,BREEZEFIELD*,nude-shades
Pink,464,BREEZEFIELD,whisper
White,465,BLIZZARDVILLE*,white-shades
White,465,BLIZZARDVILLE,whisper
Blue,466,VENTOSA SPRINGS*,blue-shades
Blue,466,VENTOSA SPRINGS,whisper
Purple,467,WHISPERWOOD*,purple-shades
Purple,467,WHISPERWOOD,whisper
Pink,468,ZEPHYROPOLIS,whisper
Pink,468,ZEPHYROPOLIS*,gold-shades
Pink,469,LUXOR,nude-shades
White,47,IZMIR,cream-colors
Nude,471,TBILISI,grey-shades
Yellow,472,SANTORINI,nude-shades
Pink,473,SEDONA,pink-shades
Nude,474,FEZ,brown-shades
Nude,475,OTTAWA,neo-nudes
Nude,476,MARBELLA,neo-nudes
Nude,477,PANAMA,neo-nudes
Nude,478,SAFI,neo-nudes
Nude,479,DJIBOUTI,neo-nudes
Black,48,BLACK,10ml-bottles
Nude,480,DURBAN,neo-nudes
Pink,481,ROSE POP,pink-shades
Orange,482,ORANGE POP,orange-shades
Yellow,483,YELLOW POP,pop-wave
Blue,486,BLUE POP,blue-shades
White,49,WHITE,10ml-bottles
Orange,50,TORONTO,new-look
Pink,52,TOULOUSE,cream-colors
Red,53,LONDON,cream-colors
Pink,55,DAKAR,pearl-colors
Pink,55,DAKAR*,pink-shades
Pink,56,RIGA,cream-colors
Blue,59,PHUKET,cream-colors
Nude,6,OSAKA*,nude-shades
Nude,6,OSAKA,pearl-colors
Purple,62,MILANO,10ml-bottles
Red,63,ACAPULCO,10ml-bottles
Red,64,BILBAO,10ml-bottles
Pink,65,ADELAIDE,pearl-colors
Pink,65,ADELAIDE*,10ml-bottles
Red,69,BORDEAUX,10ml-bottles
Red,7,MACAO,10ml-bottles
Pink,701,RIO GRANDE,bio-colors
Pink,702,MISSISSIPPI,bio-colors
Red,703,NILE,bio-colors
Pink,704,RHÔNE,bio-colors
Red,705,VOLTA,bio-colors
Pink,706,THAMES,bio-colors
Red,707,COLORADO,bio-colors
Red,708,MURRAY,bio-colors
Pink,709,AMAZONAS,bio-colors
Pink,71,LA PAZ,cream-colors
Pink,710,MEKONG,bio-colors
Pink,711,SHANNON,bio-colors
Pink,712,INDUS,bio-colors
Red,72,NICE,10ml-bottles
Red,74,LOS ANGELES,10ml-bottles
Pink,75,MIAMI,10ml-bottles
Red,78,TOBAGO*,10ml-bottles
Red,78,TOBAGO,pearl-colors
Brown,81,BUENOS AIRES,brown-shades
Pink,83,DUBLIN,nude-shades
Pink,84,TALLINN,nude-shades
Pink,9,LISBOA,pearl-colors
Pink,9,LISBOA*,pink-shades
Nude,90,AROSA,10ml-bottles
Nude,91,RENO,10ml-bottles
Red,92,NEW DELHI,10ml-bottles
Red,92,NEW DEHLI,burgundy-shades
Pink,97,WICHITA,cream-colors
Blue,975,SANTA MONICA,blue-shades
Pink,98,MARRAKECH,cream-colors
Green,982,NAIVE MINT,dash-splash
Yellow,985,PSYCHEDELIC LIME*,dash-splash
Brown,991,QUEBEC*,gold-shades
Nude,993,WINDSOR,heritage
